K0001
	D1134	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ	bstod tshogs, ka 82a2-82b3.	gnas chen po brgyad kyi mchod rten la bstod pa
	G24	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ་	bstod tshogs, ka 116b2 (p.59-3-2)	gnas chen po brgyad kyi mchod rten la bstod pa 
	N2024	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ	bstod tshogs, ka 90a3-90b5. (ff.90r-90v (pp.179-180))	gnas chen po brgyad kyi mchod rten la bstod pa
	N2025	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ	bstod tshogs, ka 90b5-91a6. (ff.90v-91r (pp.180-181))	gnas chen po brgyad kyi mchod rten la bstod pa
	Q2024	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ	bstod tshogs, ka 94a5-94b7 (vol.46, p.39)	gnas chen po brgyad kyi mchod rten la bstod pa
	Q2025	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ	bstod tshogs, ka 94b7-95b1 (vol.46, p.40)	gnas chen po brgyad kyi mchod rten la bstod pa

K0025
	G25	གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ་	bstod tshogs, ka 117a5 (p.58-4-5)	gnas chen po brgyad kyi mchod rten la bstod pa 

K0026
	D1135	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 82b3-83a6.	mdzad pa bcu gnyis kyi tshul la bstod pa zhes bya ba
	G26	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 118b1 (p.61-1-1)	mdzad pa bcu gnyis kyi tshul la bstod pa zhes bya ba 
	N2026	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 91a6-92a4. (ff.91r-92r (pp.181-183))	mdzad pa bcu gnyis kyi tshul la bstod pa zhes bya ba
	Q2026	མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 95b1-96a7 (vol.46, p.40)	mdzad pa bcu gnyis kyi tshul la bstod pa zhes bya ba

K0027
	D1136	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 83a6-83b5.	phyag 'tshal ba'i bstod pa zhes bya ba
	G27	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 119a6 (p.60-2-6)	phyag 'tshal ba'i bstod pa zhes bya ba 
	N2027	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 92a4-92b3. (ff.92r-92v (pp.183-184))	phyag 'tshal ba'i bstod pa zhes bya ba
	Q2027	ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 96a8-96b8 (vol.46, p.41)	phyag 'tshal ba'i bstod pa zhes bya ba

K0028
	D1137	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ	bstod tshogs, ka 83b5-84a7.	dmyal ba nas 'don pa zhes bya ba
	G28	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 120a1 (p.60-3-1)	dmyal ba nas 'don pa zhes bya ba 
	N2028	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ	bstod tshogs, ka 92b4-93b1. (ff.92v-93v (pp.184-186))	dmyal ba nas 'don pa zhes bya ba
	Q2028	དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ	bstod tshogs, ka 97a1-97b7 (vol.46, p.41)	dmyal ba nas 'don pa zhes bya ba

K0029
	D1138	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 84a7-100b7.	sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba
	G29	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ་	bstod tshogs, ka 121b1-143a (p.61-4-1)	sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba 
	N2029	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 93b1-110b1. (ff.93v-111v (pp.186-222))	sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba
	Q2029	སངས་རྒྱས་བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་བསྔགས་པར་འོས་པ་བསྔགས་པ་ལས་བསྟོད་པར་མི་ནུས་པར་བསྟོད་པ་ཞེས་བྱ་བ	bstod tshogs, ka 97b7-118a2 (vol.46, p.41)	sangs rgyas bcom ldan 'das la bstod pa bsngags par 'os pa bsngags pa las bstod par mi nus par bstod pa zhes bya ba

K0030
	D1139	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ	bstod tshogs, ka 100b7-101a5.	dkon mchog gsum la bkra shis kyi bstod pa
	G30	དཀོན་མཆོག་གསུམ་ལ་བཀྲ་ཤིས་ཀྱི་བསྟོད་པ་	bstod tshogs, ka 144b1 (p.73-3-1)	dkon mchog gsum la bkra shis kyi bstod pa 
